ccode,year,attacksum,deathsum
360,1994,0,0
360,1995,1,0
360,1996,0,0
360,1997,0,0
360,1998,0,0
360,1999,0,0
360,2000,0,0
360,2001,0,0
360,2002,0,0
360,2003,0,0
360,2004,0,0
360,2005,0,0
360,2006,0,0
360,2007,0,0
360,2008,1,0
360,2009,0,0
360,2010,0,0
380,1981,0,0
380,1982,0,0
380,1983,1,1
380,1984,0,0
380,1985,0,0
380,1986,3,1
380,1987,0,0
380,1988,0,0
380,1989,3,0
380,1990,6,1
380,1991,6,1
380,1992,12,2
380,1993,0,0
380,1994,1,0
380,1995,1,0
380,1996,1,0
380,1997,4,1
380,1998,0,0
380,1999,2,0
380,2000,1,0
380,2001,0,0
380,2002,0,0
380,2003,0,0
380,2004,0,0
380,2005,3,0
380,2006,1,0
380,2007,0,0
380,2008,1,0
380,2009,1,0
380,2010,3,1
385,1981,1,0
385,1982,0,0
385,1983,0,0
385,1984,0,0
385,1985,0,0
385,1986,0,0
385,1987,2,1
385,1988,0,0
385,1989,0,0
385,1990,0,0
385,1991,2,0
385,1992,2,0
385,1993,0,0
385,1994,2,0
385,1995,0,0
385,1996,1,0
385,1997,0,0
385,1998,0,0
385,1999,0,0
385,2000,0,0
385,2001,1,1
385,2002,0,0
385,2003,1,0
385,2004,0,0
385,2005,0,0
385,2006,1,0
385,2007,0,0
385,2008,0,0
385,2009,0,0
385,2010,1,0
390,1981,6,0
390,1982,0,0
390,1983,0,0
390,1984,0,0
390,1985,4,1
390,1986,2,0
390,1987,2,0
390,1988,1,0
390,1989,1,0
390,1990,0,0
390,1991,1,0
390,1992,4,1
390,1993,0,0
390,1994,0,0
390,1995,6,0
390,1996,0,0
390,1997,0,0
390,1998,0,0
390,1999,1,0
390,2000,0,0
390,2001,0,0
390,2002,0,0
390,2003,0,0
390,2004,0,0
390,2005,0,0
390,2006,0,0
390,2007,0,0
390,2008,1,0
390,2009,0,0
390,2010,1,0
395,1981,0,0
395,1982,0,0
395,1983,1,0
395,1984,0,0
395,1985,0,0
395,1986,1,0
395,1987,0,0
395,1988,0,0
395,1989,0,0
395,1990,0,0
395,1991,0,0
395,1992,0,0
