year,ccode,uds
2005,93,0.553257704
2006,93,0.670768288
2007,93,0.734870529
2008,93,0.643904143
1946,94,0.396316758
1947,94,0.395430115
1948,94,-0.174613287
1949,94,0.273600746
1950,94,0.381090705
1951,94,0.373862028
1952,94,0.371313331
1953,94,0.580050557
1954,94,0.581043122
1955,94,0.566269646
1956,94,0.580675292
1957,94,0.579551391
1958,94,0.92276659
1959,94,0.912713715
1960,94,0.977556349
1961,94,0.915758427
1962,94,0.913801983
1963,94,0.91858303
1964,94,0.920184047
1965,94,0.96393412
1966,94,0.916665387
1967,94,0.915314689
1968,94,0.914609601
1969,94,0.917183988
1970,94,0.999121194
1971,94,0.996222713
1972,94,1.147689719
1973,94,1.149214125
1974,94,1.219558711
1975,94,1.416917342
1976,94,1.418865949
1977,94,1.413442749
1978,94,1.412917168
1979,94,1.41146179
1980,94,1.426148898
1981,94,1.225083574
1982,94,1.151647067
1983,94,1.194663325
1984,94,1.187553587
1985,94,1.235035675
1986,94,1.295544927
1987,94,1.294362411
1988,94,1.299755216
1989,94,1.289177866
1990,94,1.302921916
1991,94,1.303138956
1992,94,1.297771388
1993,94,1.110222375
1994,94,1.184983204
1995,94,1.191166549
1996,94,1.184482549
1997,94,1.189908602
1998,94,1.107496322
1999,94,1.111272736
2000,94,1.144931857
2001,94,1.097359479
2002,94,1.021747447
2003,94,1.024136714
2004,94,1.189984028
2005,94,1.192312321
2006,94,1.188586889
2007,94,1.285612308
2008,94,1.181485435
1946,95,-0.520266584
1947,95,-0.522118689
1948,95,-0.233071248
1949,95,-0.094359004
1950,95,-0.087448465
1951,95,-0.213263366
1952,95,-0.141124684
1953,95,-0.14647107
1954,95,-0.170360491
1955,95,-0.091501138
1956,95,0.293317403
1957,95,0.293144071
1958,95,0.293023066
1959,95,0.317972933
1960,95,0.314012709
1961,95,0.338617927
1962,95,0.338943347
1963,95,0.338775892
1964,95,0.150414139
1965,95,0.152744868
1966,95,0.148942066
1967,95,0.152055471
1968,95,-0.822177596
1969,95,-1.100421856
1970,95,-1.100682716
1971,95,-1.100813463
1972,95,-0.933331812
1973,95,-0.926046846
1974,95,-0.929146834
1975,95,-0.930715806
1976,95,-0.927469049
1977,95,-0.795025472
1978,95,-0.598263846
1979,95,-0.601089692
1980,95,-0.600476473
1981,95,-0.550004272
1982,95,-0.513993071
1983,95,-0.488070959
1984,95,-0.259727801
1985,95,-0.181294993
1986,95,-0.319242795
1987,95,-0.515660892
1988,95,-0.966819116
1989,95,-0.106347417
1990,95,0.358617403
1991,95,0.357739983
1992,95,0.346482242
1993,95,0.362942154
1994,95,0.667815083
1995,95,0.866141172
1996,95,0.864068582
1997,95,0.87152207
1998,95,0.933224333
1999,95,0.996039563
2000,95,0.873957864
2001,95,0.999683639
2002,95,0.994088201
2003,95,0.996964365
2004,95,1.000552287
2005,95,0.996799449
2006,95,0.980401244
2007,95,0.982777426
2008,95,0.972470883
1946,100,0.198053374
1947,100,0.195957057
1948,100,0.095387128
1949,100,-0.302969389
1950,100,-0.408804127
1951,100,-0.534201941
1952,100,-0.528692646
1953,100,-0.618853814
1954,100,-0.725504336
1955,100,-0.725531566
1956,100,-0.83852049
1957,100,-0.280610902
1958,100,0.150164694
1959,100,0.279062952
1960,100,0.239943238
1961,100,0.273810821
1962,100,0.308193623
1963,100,0.309832819
1964,100,0.308869047
1965,100,0.29423914
1966,100,0.275568238
1967,100,0.275687007
1968,100,0.275999121
1969,100,0.274783301
1970,100,0.335262336
1971,100,0.334826928
1972,100,0.378408964
1973,100,0.380842065
1974,100,0.661380292
1975,100,0.624628516
1976,100,0.624286351
1977,100,0.560807183
1978,100,0.62315506
1979,100,0.621519464
1980,100,0.556920228
1981,100,0.623147488
1982,100,0.595857049
1983,100,0.643617233
1984,100,0.641728419
1985,100,0.74402408
1986,100,0.638679415
1987,100,0.640303476
1988,100,0.566219173
1989,100,0.581514549
1990,100,0.297538742
1991,100,0.322013713
1992,100,0.322201494
1993,100,0.323693219
1994,100,0.323063696
1995,100,0.257842521
1996,100,0.258288025
1997,100,0.254643752
1998,100,0.298291557
1999,100,0.205841101
2000,100,0.190844868
2001,100,0.206676017
2002,100,0.203936477
2003,100,0.203877536
2004,100,0.202850552
2005,100,0.244796981
2006,100,0.268729077
2007,100,0.274778978
2008,100,0.323480709
1946,101,0.031381276
1947,101,0.297612325
1948,101,-0.309372131
1949,101,-0.766671803
1950,101,-0.734763954
1951,101,-0.765305413
1952,101,-0.652176037
1953,101,-0.562549166
1954,101,-0.476223941
1955,101,-0.598240401
1956,101,-0.562508733
1957,101,-0.649624058
1958,101,0.312365503
1959,101,0.626684825
1960,101,0.572876961
1961,101,0.624386866
1962,101,0.620312113
1963,101,0.662377424
1964,101,0.667930075
1965,101,0.571003077
1966,101,0.662012149
1967,101,0.66507985
1968,101,0.701975273
1969,101,0.948668816
1970,101,0.829004053
1971,101,0.831275108
1972,101,0.908049382
1973,101,0.810085914
1974,101,0.810066697
1975,101,0.802973052
1976,101,0.872741622
