year,ccode,terror_killed,terror_events
1992,365,34,21
1994,365,34,47
1995,365,145,37
1996,365,135,66
1997,365,61,77
1998,365,49,26
1999,365,395,54
2000,365,362,138
2001,365,228,135
2002,365,512,89
2003,365,328,76
2004,365,607,43
2005,365,156,63
2006,365,57,56
2007,365,55,51
2008,365,95,170
1992,366,0,2
1994,366,0,6
1995,366,0,2
1996,366,1,1
1999,366,0,1
2001,366,1,1
1992,367,0,2
1994,367,1,2
1995,367,0,1
1997,367,0,2
1998,367,0,4
1999,367,0,1
2000,367,1,3
2007,367,0,1
1991,368,0,1
1992,368,0,1
1995,368,0,2
1996,368,0,3
1997,368,1,1
1991,369,0,2
1992,369,1,1
1994,369,4,10
1995,369,0,2
1996,369,0,3
1997,369,2,2
1999,369,1,6
2000,369,0,1
2002,369,1,3
2003,369,0,1
2007,369,0,1
2008,369,0,1
1994,370,0,1
1997,370,1,2
1999,370,0,1
2001,370,0,1
2006,370,0,1
2008,370,0,1
1991,371,0,1
1992,371,2,2
1994,371,15,4
1995,371,2,1
1996,371,2,1
1998,371,0,2
1999,371,8,2
2000,371,0,2
2001,371,1,2
2007,371,0,1
1991,372,2,3
1992,372,109,39
1994,372,29,18
1995,372,14,17
1996,372,2,3
1997,372,35,6
1998,372,32,12
1999,372,5,7
2000,372,3,7
2001,372,6,4
2002,372,1,2
2003,372,0,6
2004,372,0,3
2005,372,8,6
2006,372,5,3
2008,372,13,33
1991,373,26,3
1992,373,186,12
1994,373,30,11
1995,373,0,2
1996,373,2,2
1997,373,1,1
2000,373,0,1
2001,373,1,4
2002,373,0,1
2007,373,0,1
2008,373,5,2
1986,375,0,1
1992,375,0,1
1994,375,0,1
1995,375,0,1
2007,375,9,1
2008,375,0,1
1971,380,1,2
1972,380,0,3
1975,380,3,1
1978,380,0,1
1979,380,1,1
1983,380,1,1
1986,380,1,3
1989,380,0,3
1990,380,1,6
1991,380,1,6
1992,380,2,12
1994,380,0,1
1995,380,0,1
1996,380,0,1
1997,380,1,4
1999,380,0,2
2000,380,0,1
2005,380,0,3
2006,380,0,1
2008,380,0,1
1979,385,0,1
1981,385,0,1
1987,385,1,2
1991,385,0,2
1992,385,0,2
1994,385,0,2
1996,385,0,1
2001,385,1,1
2003,385,0,1
2006,385,0,1
1978,390,0,1
1979,390,0,3
1980,390,0,1
1981,390,0,6
1985,390,1,4
1986,390,0,2
1987,390,0,2
1988,390,0,1
1989,390,0,1
1991,390,0,1
1992,390,1,4
1995,390,0,6
1999,390,0,1
2008,390,0,1
1983,395,0,1
1986,395,0,1
2001,404,0,1
2003,404,1,1
2005,404,3,4
2006,404,11,1
1992,411,1,1
1994,420,13,1
1995,420,0,1
2000,420,0,1
1990,432,14,1
1991,432,43,12
1992,432,5,3
1994,432,131,13
1995,432,2,1
1997,432,0,3
2005,432,0,1
2007,432,20,5
2008,432,55,9
1980,433,0,1
1988,433,2,3
1990,433,20,11
1991,433,5,4
1992,433,64,15
1994,433,5,2
1995,433,18,8
1997,433,92,26
1998,433,4,1
1999,433,1,1
2000,433,4,4
2001,433,28,8
2002,433,8,3
2005,433,0,1
2007,433,1,1
2008,433,10,2
1992,434,0,1
1994,434,0,3
1995,434,0,1
1996,434,0,2
2007,434,0,1
1977,435,4,4
1996,435,0,1
2004,435,0,1
2005,435,23,1
2008,435,12,2
1985,436,3,1
1989,436,171,1
1991,436,8,6
1992,436,34,16
1994,436,53,8
1995,436,22,2
1996,436,2,1
1997,436,32,3
1999,436,4,2
2007,436,66,7
2008,436,6,9
1992,437,1,3
1994,437,5,2
1995,437,40,7
1996,437,5,2
1997,437,0,1
2000,437,4,2
2001,437,12,1
2002,437,3,1
2004,437,12,1
2005,437,41,1
2006,437,20,3
2007,437,0,1
1980,438,1,2
1992,438,0,2
1994,438,2,2
1996,438,2,1
2000,438,206,12
2005,438,0,1
1984,439,1,1
1991,439,1,2
1990,450,2,4
1991,450,0,1
1992,450,37,10
1994,450,110,3
1996,450,10,1
1999,450,0,2
2000,450,0,1
2001,450,1,3
2002,450,3,3
2003,450,2,2
2008,450,12,1
1991,451,128,9
1992,451,21,4
1994,451,228,22
1995,451,40,14
1996,451,60,5
1997,451,16,3
1998,451,258,7
1999,451,28,9
2000,451,60,24
1987,452,0,1
1992,452,0,8
1994,452,13,4
1995,452,2,1
1996,452,3,2
1997,452,1,1
1985,461,1,3
1991,461,13,2
1992,461,12,27
1994,461,47,13
1995,461,0,1
1996,461,3,1
2005,461,0,1
1991,471,36,4
1992,471,6,6
1994,471,33,6
1995,471,5,2
1998,471,0,1
2007,471,31,1
2008,471,3,1
1980,475,0,1
1983,475,1,3
1988,475,4,2
1991,475,10,3
1992,475,135,12
1994,475,15,8
1995,475,1,1
1996,475,24,11
1997,475,107,20
1998,475,9,2
1999,475,134,18
2000,475,20,7
2001,475,3,5
2002,475,28,6
2003,475,28,9
2004,475,41,6
2005,475,19,9
2006,475,254,37
2007,475,82,61
2008,475,72,76
1979,481,2,1
1994,481,0,1
1996,481,0,1
1997,481,4,1
1981,482,3,1
1986,482,0,1
1991,482,3,4
1992,482,1,1
1994,482,2,1
1996,482,2,1
2000,482,1,1
2001,482,7,1
2006,482,4,1
2007,482,1,1
2008,482,1,2
1974,483,0,1
1984,483,0,1
1985,483,0,1
1986,483,0,1
1991,483,40,2
1992,483,170,4
1994,483,1,1
1995,483,0,3
1996,483,1,1
1997,483,2,1
